
Campos del recurso

Nombre 			        Tipo 		Descripción
id_hecho 		        string 		Identificador unico del siniestro
n_victimas 		        numeric 	Cantidad de víctimas
fecha 			        date 		Fecha en formato dd/mm/aaaa
aaaa 			        numeric 	Año
mm 			            numeric 	Mes
dd 			            numeric 	Dia del mes
hora 			        time 		Hora del siniestro
hh 			            numeric 	Franja horaria entera
direccion_normalizada 	string 		Direccion en formato normalizado GCBA
calle 			        string 		Nombre de la arteria donde se produjo el hecho
altura 			        numeric 	Altura de la arteria donde se produjo el hecho
cruce 			        numeric 	Cruce en caso de que sea una encrucijada
otra_direccion 		    string 		Forma alternativa del lugar del hecho
comuna 			        string 		Comuna de la ciudad (1 a 15)
tipo_de_calle 		    string 		Tipo de arteria. En el caso de intersecciones a nivel se clasifica según la de mayor jerarquía
geocodificacion_caba 	string 		Geocodificación plana
longitud 		        string 		Longitud con separador punto. WGS84
latitud 		        string 		Latitud con separador punto. WGS84
participantes 	        string 		Conjunción de víctima y contraparte
victima 		        string 		Vehículo que ocupaba quien haya fallecido a se haya lastimado a raíz del hecho, o bien peatón/a. 

Clasificación agregada del tipo de vehículos.
contraparte 		    string 		Vehículo que ocupaba quien resultó acusado/a del hecho, sin implicar culpabilidad legal
gravedad 		        string 		Nivel máximo conocido de gravedad de la lesión de la(s) víctima(s) del siniestro en función del tiempo de hospitalización
tipo_de_dato 		    string 		Carácter provisorio o definitivo del dato publicado
